chapitre	chapter
13	13
nicolas	nicolas
flamel	flamel
dumbledore	dumbledore
avait	had
réussi	successful
à	to
convaincre	convince
harry	harry
de	of
ne	do
plus	more
chercher	search
le	the
miroir	mirror
du	the
riséd	riséd
et	and
pendant	during
toutes	all
les	the
vacances	holiday
noël	christmas
la	the
cape	cape
d'invisibilité	invisibility
était	was
restée	remained
rangée	row
au	the
fond	background
sa	its
valise	suitcase
aurait	would
bien	well
voulu	wanted
oublier	forget
aussi	also
facilement	easily
ce	this
qu'il	it
vu	seen
dans	in
mais	but
c'était	it was
impossible	impossible
il	it
commença	started
faire	do
des	of
cauchemars	nightmares
rêvait	dreamed
sans	without
cesse	stops
que	that
ses	its
parents	parents
disparaissaient	disappeared
un	a
éclair	flash
lumière	light
verte	green
tandis	while
qu'une	a
voix	voice
aiguë	acute
lançait	launched
petit	small
rire	laugh
aigrelet	sour
tu	you
vois	see
raison	reason
pourrait	could
finir	finish
par	by
te	te
rendre	make
fou	crazy
dit	said
ron	ron
lorsque	when
lui	him
eut	had
parlé	spoken
ces	these
rêves	dreams
hermione	hermione
qui	that
revenue	revenue
veille	eve
reprise	recovery
cours	during
voyait	saw
choses	things
différemment	differently
elle	it
partagée	shared
entre	between
l'horreur	the horror
l'idée	the idea
se	is
promène	walks
couloirs	corridors
nuit	night
(si	(if
rusard	rusard
t'avait	you had
attrapé)	caught)
déception	disappointment
n'ait	did
toujours	always
pas	not
trouvé	found
ils	they
avaient	had
presque	almost
abandonné	abandoned
tout	all
espoir	hope
trouver	find
quoi	what
soit	either
sur	on
livre	book
bibliothèque	library
même	even
si	if
restait	remained
persuadé	persuaded
lu	read
son	its
nom	name
quelque	some
part	share
dès	as soon
début	beginning
deuxième	second
trimestre	quarter
recommencèrent	started
feuilleter	browse
livres	books
récréations	recess
encore	yet
moins	less
temps	time
deux	two
autres	other
cause	cause
l'entraînement	training
quidditch	quidditch
repris	taken
dubois	dubois
faisait	was
travailler	work
équipe	team
dur	hard
jamais	never
pluie	rain
incessante	incessant
fait	fact
fondre	melt
neige	snow
parvenait	could
modérer	moderate
ardeurs	enthusiasm
s'ils	if they
arrivaient	arrived
gagner	win
prochain	next
match	match
opposerait	would
l'équipe	the team
poufsouffle	hufflepuff
passeraient	would
devant	before
serpentard	slytherin
course	race
championnat	championship
pour	for
première	first
fois	time
depuis	since
sept	seven
ans	years
au-delà	beyond
désir	desire
vaincre	defeat
s'était	had
rendu	rendering
compte	account
quand	when
revenait	back
épuisé	exhausted
séances	sessions
d'entraînement	training
jour	day
qu'ils	they
s'entraînaient	trained
sous	under
terrain	field
particulièrement	particularly
boueux	muddy
fâcha	angry
contre	against
frères	brothers
weasley	weasley
cessaient	stopped
foncer	create
dessus	top
en	in
faisant	making
semblant	pretend
tomber	fall
leurs	their
balais	brushes
arrêtez	stop
vos	your
idioties	baloney
s'écria-t-il	cried it
c'est	it is
avec	with
genre	kind
qu'on	we
finit	ends
perdre	lose
rogue	rogue
va	will
arbitrer	arbitrate
tous	all
prétextes	excuses
enlever	remove
points	points
gryffondor	gryffindor
entendant	hearing
cela	this
george	george
faillit	almost
balai	broom
bredouilla-t-il	gabble-t-he
bouche	mouth
pleine	full
boue	mud
n'a	did
ça	it
s'il	if it
voit	see
risque	risk
devancer	ahead of
nous	we
défavoriser	the disadvantage of
reste	rest
atterrit	lands
auprès	with
protester	protest
également	also
je	I
n'y	there
suis	am
rien	nothing
défendit	defended
pouvons	can
jouer	play
impeccablement	impeccably
comme	as
n'aura	will
aucun	no
prétexte	excuse
s'en	in
prendre	take
doute	doubt
pensa	thought
lui-même	himself
raisons	reasons
personnelles	personal
souhaiter	wish
trop	too
près	near
a	has
fin	end
séance	session
rentra	returned
directement	directly
salle	room
commune	common
où	where
retrouva	found
jouaient	played
aux	the
échecs	chess
étaient	were
seul	only
jeu	game
auquel	which
perdait	lost
yeux	eyes
pouvait	could
attends	wait
me	me
parle	speaks
l'instant	the moment
vint	came
s'asseoir	sit
côté	side
dois	do
concen	concen
qu'est-ce	what is this
passe	pass
s'exclama-t-il	exclaimed,-t-he
soudain	suddenly
voyant	light
tête	head
basse	low
personne	person
d'autre	on the other
puisse	can
l'entendre	hear
leur	their
annonça	announced
l'intention	the intention
d'arbitrer	to arbitrate
faut	must
joues	cheeks
aussitôt	as soon
n'as	did
qu'à	as
dire	say
es	es
malade	sick
fais	do
t'être	you be
cassé	broken
jambe	leg
suggéra	suggested
ou	or
casse-toi	fuck off you
bon	good
répondit	replied
d'attrapeur	of monkey net
remplaçant	replacing
notre	our
déclare	said
forfait	package
pourra	may
cet	this
instant	now
neville	neville
plat	flat
ventre	belly
jambes	legs
collées	pasted
l'une	one
l'autre	the other
conséquence	result
connue	known
d'un	a
mauvais	bad
sort	fate
très	very
courant	current
appelé	called
maléfice	hex
bloque-jambes	blocks-legs
comment	how
avait-il	had he
arriver	getting
jusqu'ici	up here
nul	no
